YearRemodAdd|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1950|SalePrice|361|178|20908424.0|117463.06|110904.56|115000.0||183|50.69|1544972888.27|39306.14|0|0.0|0|0.0|178|49.31|183|50.69|133|34900.0|256000.0|221100.0|91850.0|136875.0|45025.0|0.84|1.7
1951|SalePrice|14|4|519900.0|129975.0|128854.5|138450.0||10|71.43|349469166.67|18694.09|0|0.0|0|0.0|4|28.57|10|71.43|4|102000.0|141000.0|39000.0|128925.0|139500.0|10575.0|-1.14|-0.68
1952|SalePrice|15|5|551993.0|110398.6|103223.46|123500.0||10|66.67|1807115409.8|42510.18|0|0.0|0|0.0|5|33.33|10|66.67|5|55993.0|166000.0|110007.0|82000.0|124500.0|42500.0|-0.03|-1.18
1953|SalePrice|20|10|1476400.0|147640.0|140428.7|152250.0||10|50.0|2323729333.33|48205.08|0|0.0|0|0.0|10|50.0|10|50.0|10|79900.0|225000.0|145100.0|113250.0|164500.0|51250.0|0.27|-0.91
1954|SalePrice|28|14|1696000.0|121142.86|119722.95|118500.0||14|50.0|379939560.44|19492.04|0|0.0|0|0.0|14|50.0|14|50.0|13|93000.0|165000.0|72000.0|110250.0|131875.0|21625.0|0.5|0.02
1955|SalePrice|25|9|1120600.0|124511.11|123022.17|130000.0||16|64.0|358063611.11|18922.57|0|0.0|0|0.0|9|36.0|16|64.0|9|82000.0|145000.0|63000.0|118000.0|135500.0|17500.0|-1.24|0.87
1956|SalePrice|30|10|1242350.0|124235.0|123379.91|128950.0||20|66.67|219045583.33|14800.19|0|0.0|0|0.0|10|33.33|20|66.67|9|97000.0|139000.0|42000.0|115875.0|135000.0|19125.0|-0.86|-0.78
1957|SalePrice|20|9|1193908.0|132656.44|130076.85|141000.0||11|55.0|692957973.78|26324.09|0|0.0|0|0.0|9|45.0|11|55.0|9|84000.0|166000.0|82000.0|112500.0|150000.0|37500.0|-0.57|-0.73
1958|SalePrice|34|15|1925800.0|128386.67|124411.87|136000.0||19|55.88|904884095.24|30081.29|0|0.0|0|0.0|15|44.12|19|55.88|15|60000.0|172500.0|112500.0|112250.0|144500.0|32250.0|-0.72|0.01
1959|SalePrice|30|18|2448982.0|136054.56|134289.8|137716.0||12|40.0|446947502.97|21141.13|0|0.0|0|0.0|18|60.0|12|40.0|17|80000.0|170000.0|90000.0|127862.5|146750.0|18887.5|-0.81|1.11
1960|SalePrice|29|12|1742550.0|145212.5|141636.81|149775.0||17|58.62|1059000965.91|32542.3|0|0.0|0|0.0|12|41.38|17|58.62|12|79500.0|215000.0|135500.0|126875.0|157125.0|30250.0|0.1|0.85
1961|SalePrice|24|8|1055050.0|131881.25|130677.27|132750.0||16|66.67|349199955.36|18686.89|0|0.0|0|0.0|8|33.33|16|66.67|8|98600.0|163000.0|64400.0|126000.0|140212.5|14212.5|-0.18|-0.04
1962|SalePrice|26|14|2036600.0|145471.43|143732.66|143950.0||12|46.15|509672967.03|22575.94|0|0.0|0|0.0|14|53.85|12|46.15|14|101800.0|176000.0|74200.0|133000.0|163750.0|30750.0|-0.45|-0.69
1963|SalePrice|30|13|1816950.0|139765.38|138647.15|137500.0||17|56.67|360728076.92|18992.84|0|0.0|0|0.0|13|43.33|17|56.67|13|110000.0|186700.0|76700.0|132250.0|143000.0|10750.0|1.01|1.13
1964|SalePrice|26|11|1751400.0|159218.18|157380.66|167000.0||15|57.69|585243636.36|24191.81|0|0.0|0|0.0|11|42.31|15|57.69|10|115000.0|190000.0|75000.0|151500.0|174500.0|23000.0|-0.77|-0.49
1965|SalePrice|28|19|2735083.0|143951.74|134314.45|137000.0||9|32.14|4252576412.87|65211.78|0|0.0|0|0.0|19|67.86|9|32.14|18|62383.0|375000.0|312617.0|112500.0|145050.0|32550.0|2.48|6.6
1966|SalePrice|27|15|2248720.0|149914.67|143026.7|154000.0||12|44.44|2460208155.24|49600.49|0|0.0|0|0.0|15|55.56|12|44.44|14|76500.0|274970.0|198470.0|117500.0|162225.0|44725.0|1.08|1.01
1967|SalePrice|34|12|1577500.0|131458.33|129256.74|125250.0||22|64.71|641293560.61|25323.77|0|0.0|0|0.0|12|35.29|22|64.71|11|90000.0|185000.0|95000.0|122750.0|143000.0|20250.0|0.46|0.14
1968|SalePrice|39|17|2602630.0|153095.88|149389.35|142000.0||22|56.41|1292612288.24|35952.92|0|0.0|0|0.0|17|43.59|22|56.41|17|108000.0|244000.0|136000.0|130000.0|176000.0|46000.0|0.82|0.4
1969|SalePrice|26|14|2202159.0|157297.07|153709.63|151500.0||12|46.15|1241169396.99|35230.23|0|0.0|0|0.0|14|53.85|12|46.15|14|108000.0|223000.0|115000.0|135950.0|178000.0|42050.0|0.4|-0.8
1970|SalePrice|44|26|3623550.0|139367.31|132196.9|129250.0||18|40.91|2262957788.46|47570.56|0|0.0|0|0.0|26|59.09|18|40.91|25|75000.0|268000.0|193000.0|106000.0|163375.0|57375.0|0.9|0.59
1971|SalePrice|31|18|2164150.0|120230.56|116880.79|117250.0||13|41.94|927765629.08|30459.25|0|0.0|0|0.0|18|58.06|13|41.94|17|85400.0|190000.0|104600.0|92875.0|135000.0|42125.0|0.83|-0.1
1972|SalePrice|35|20|2546600.0|127330.0|124807.38|127750.0||15|42.86|610362473.68|24705.52|0|0.0|0|0.0|20|57.14|15|42.86|20|75500.0|165150.0|89650.0|116625.0|140600.0|23975.0|-0.46|-0.29
1973|SalePrice|21|11|1529900.0|139081.82|130785.33|135000.0||10|47.62|2717543636.36|52130.06|0|0.0|0|0.0|11|52.38|10|47.62|11|83000.0|244000.0|161000.0|95500.0|164500.0|69000.0|0.66|-0.55
1974|SalePrice|19|7|1115500.0|159357.14|158501.03|165000.0||12|63.16|316392857.14|17787.44|0|0.0|0|0.0|7|36.84|12|63.16|6|136000.0|185000.0|49000.0|144750.0|170000.0|25250.0|0.0|-1.33
1975|SalePrice|30|10|1746524.0|174652.4|167910.14|169000.0||20|66.67|2792321235.38|52842.42|0|0.0|0|0.0|10|33.33|20|66.67|10|110000.0|280000.0|170000.0|134000.0|195443.0|61443.0|0.7|-0.35
1976|SalePrice|48|30|4796055.0|159868.5|155516.83|151450.0||18|37.5|1519878026.12|38985.61|0|0.0|0|0.0|30|62.5|18|37.5|29|85000.0|287000.0|202000.0|132875.0|186375.0|53500.0|0.93|2.0
1977|SalePrice|46|25|3967550.0|158702.0|155852.96|160000.0||21|45.65|855869266.67|29255.24|0|0.0|0|0.0|25|54.35|21|45.65|22|82500.0|217500.0|135000.0|140000.0|175000.0|35000.0|-0.32|0.31
1978|SalePrice|36|16|2533800.0|158362.5|155904.04|152750.0||20|55.56|947087833.33|30774.79|0|0.0|0|0.0|16|44.44|20|55.56|16|112000.0|250000.0|138000.0|146750.0|165125.0|18375.0|1.57|3.21
1979|SalePrice|24|10|1503572.0|150357.2|144970.94|139456.5||14|58.33|2165994324.4|46540.24|0|0.0|0|0.0|10|41.67|14|58.33|10|99500.0|260000.0|160500.0|121473.0|152002.75|30529.75|1.41|1.16
1980|SalePrice|26|12|1857750.0|154812.5|150218.1|141500.0||14|53.85|1849717329.55|43008.34|0|0.0|0|0.0|12|46.15|14|53.85|11|110500.0|260000.0|149500.0|128687.5|160125.0|31437.5|1.39|1.0
1981|SalePrice|12|8|1475400.0|184425.0|178713.17|173250.0||4|33.33|2469002142.86|49689.05|0|0.0|0|0.0|8|66.67|4|33.33|7|110000.0|278000.0|168000.0|168000.0|194175.0|26175.0|0.58|-0.02
1982|SalePrice|9|7|848900.0|121271.43|118632.45|134900.0||2|22.22|659032380.95|25671.63|0|0.0|0|0.0|7|77.78|2|22.22|7|84500.0|145000.0|60500.0|104750.0|137500.0|32750.0|-0.78|-1.19
1983|SalePrice|11|5|684400.0|136880.0|136753.76|134000.0||6|54.55|43572000.0|6600.91|0|0.0|0|0.0|5|45.45|6|54.55|4|131000.0|144000.0|13000.0|131400.0|144000.0|12600.0|0.32|-1.8
1984|SalePrice|19|7|1294500.0|184928.57|180240.82|187500.0||12|63.16|1973369047.62|44422.62|0|0.0|0|0.0|7|36.84|12|63.16|7|125000.0|250000.0|125000.0|152500.0|213500.0|61000.0|0.05|-1.2
1985|SalePrice|14|9|1508500.0|167611.11|161068.35|160000.0||5|35.71|2717486111.11|52129.51|0|0.0|0|0.0|9|64.29|5|35.71|9|112000.0|275000.0|163000.0|120000.0|180000.0|60000.0|0.87|-0.01
1986|SalePrice|12|5|947000.0|189400.0|187966.09|184000.0||7|58.33|735800000.0|27125.63|0|0.0|0|0.0|5|41.67|7|58.33|5|168000.0|235000.0|67000.0|170000.0|190000.0|20000.0|1.09|-0.3
1987|SalePrice|16|10|2097900.0|209790.0|196509.77|178950.0||6|37.5|7036129888.89|83881.64|0|0.0|0|0.0|10|62.5|6|37.5|10|122000.0|385000.0|263000.0|147000.0|247250.0|100250.0|0.92|-0.17
1988|SalePrice|15|9|1714800.0|190533.33|187523.32|196500.0||6|40.0|1238522500.0|35192.65|0|0.0|0|0.0|9|60.0|6|40.0|9|139000.0|241500.0|102500.0|175000.0|210000.0|35000.0|-0.16|-1.04
1989|SalePrice|18|11|2181500.0|198318.18|194097.65|180000.0||7|38.89|2001763636.36|44741.07|0|0.0|0|0.0|11|61.11|7|38.89|11|143500.0|277000.0|133500.0|170500.0|219750.0|49250.0|0.81|-0.63
1990|SalePrice|29|15|3000630.0|200042.0|187646.16|180000.0||14|48.28|5606413174.29|74875.99|0|0.0|0|0.0|15|51.72|14|48.28|15|109900.0|335000.0|225100.0|145225.0|248640.0|103415.0|0.57|-0.94
1991|SalePrice|29|14|2586000.0|184714.29|178306.66|179550.0||15|51.72|2487662857.14|49876.48|0|0.0|0|0.0|14|48.28|15|51.72|14|107500.0|271900.0|164400.0|152000.0|222500.0|70500.0|0.16|-1.0
1992|SalePrice|32|17|2917400.0|171611.76|166805.27|170000.0||15|46.88|1731322352.94|41609.16|0|0.0|0|0.0|17|53.12|15|46.88|17|93500.0|260000.0|166500.0|147000.0|189000.0|42000.0|0.37|0.03
1993|SalePrice|43|19|4217904.0|221994.95|205197.89|187000.0||24|55.81|9740291640.61|98692.92|0|0.0|0|0.0|19|44.19|24|55.81|17|105000.0|475000.0|370000.0|172750.0|244000.0|71250.0|1.36|1.04
1994|SalePrice|53|22|4779100.0|217231.82|209030.55|207750.0||31|58.49|3705834653.68|60875.57|0|0.0|0|0.0|22|41.51|31|58.49|22|125000.0|341000.0|216000.0|180250.0|254000.0|73750.0|0.31|-0.71
1995|SalePrice|56|31|6411800.0|206832.26|185412.48|156000.0||25|44.64|15477094258.06|124406.97|0|0.0|0|0.0|31|55.36|25|44.64|29|100000.0|755000.0|655000.0|136500.0|250750.0|114250.0|2.94|10.22
1996|SalePrice|59|36|7653175.0|212588.19|185311.74|168250.0||23|38.98|19310811517.36|138963.35|0|0.0|0|0.0|36|61.02|23|38.98|36|81000.0|745000.0|664000.0|141500.0|237375.0|95875.0|2.42|5.94
1997|SalePrice|49|25|5356290.0|214251.6|204145.02|204750.0||24|48.98|4550148605.67|67454.79|0|0.0|0|0.0|25|51.02|24|48.98|24|108000.0|381000.0|273000.0|175000.0|240000.0|65000.0|0.56|0.06
1998|SalePrice|77|36|7447150.0|206865.28|198150.25|195700.0||41|53.25|3886088259.92|62338.5|0|0.0|0|0.0|36|46.75|41|53.25|35|79900.0|359100.0|279200.0|163500.0|221975.0|58475.0|0.83|0.53
1999|SalePrice|60|30|6110018.0|203667.27|197986.77|188500.0||30|50.0|2792557013.1|52844.65|0|0.0|0|0.0|30|50.0|30|50.0|27|127500.0|337000.0|209500.0|176850.0|214000.0|37150.0|1.4|1.58
2000|SalePrice|104|55|10251355.0|186388.27|178273.03|173000.0||49|47.12|3252008724.68|57026.39|0|0.0|0|0.0|55|52.88|49|47.12|53|89471.0|328900.0|239429.0|151000.0|230250.0|79250.0|0.71|-0.06
2001|SalePrice|49|21|4004000.0|190666.67|185323.78|205000.0||28|57.14|2004708333.33|44773.97|0|0.0|0|0.0|21|42.86|28|57.14|21|127000.0|261500.0|134500.0|145000.0|227000.0|82000.0|-0.23|-1.41
2002|SalePrice|82|48|10324100.0|215085.42|203268.85|215750.0||34|41.46|5040027123.23|70993.15|0|0.0|0|0.0|48|58.54|34|41.46|43|86000.0|466500.0|380500.0|182200.0|256800.0|74600.0|0.67|1.82
2003|SalePrice|99|51|9939740.0|194896.86|182970.57|184900.0||48|48.48|5711181603.2|75572.36|0|0.0|0|0.0|51|51.52|48|48.48|49|52000.0|538000.0|486000.0|143950.0|219950.0|76000.0|2.06|7.15
2004|SalePrice|111|62|12097640.0|195123.23|184911.18|181550.0||49|44.14|4566037969.75|67572.46|0|0.0|0|0.0|62|55.86|49|44.14|55|73000.0|412500.0|339500.0|148850.0|228375.0|79525.0|1.17|1.38
2005|SalePrice|141|73|15369634.0|210542.93|201009.43|192000.0||68|48.23|4341638306.26|65891.11|0|0.0|0|0.0|73|51.77|68|48.23|65|110000.0|402000.0|292000.0|155000.0|260000.0|105000.0|0.69|-0.32
2006|SalePrice|202|97|22258700.0|229471.13|212670.37|212900.0||105|51.98|8241955578.16|90785.22|0|0.0|0|0.0|97|48.02|105|51.98|94|79000.0|556581.0|477581.0|169990.0|270000.0|100010.0|0.94|1.11
2007|SalePrice|164|76|17085351.0|224807.25|210137.74|205475.0||88|53.66|6824264798.16|82609.11|0|0.0|0|0.0|76|46.34|88|53.66|69|64500.0|440000.0|375500.0|170800.0|280355.5|109555.5|0.66|-0.08
2008|SalePrice|81|40|10788364.0|269709.1|245900.56|263316.0||41|50.62|12476342398.04|111697.55|0|0.0|0|0.0|40|49.38|41|50.62|40|97000.0|555000.0|458000.0|176500.0|346636.0|170136.0|0.34|-0.54
2009|SalePrice|34|23|6533964.0|284085.39|264647.08|244600.0||11|32.35|13666114388.07|116902.16|0|0.0|0|0.0|23|67.65|11|32.35|23|138500.0|582933.0|444433.0|211750.0|343739.0|131989.0|1.13|0.37
2010|SalePrice|13|6|2021781.0|336963.5|300134.87|331966.0||7|53.85|28709290628.7|169438.16|0|0.0|0|0.0|6|46.15|7|53.85|6|127000.0|611657.0|484657.0|235375.0|395002.0|159627.0|0.46|-0.72
