MiscVal|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
0|logSalePrice|2698|1290|15428.98|11.96|11.96|11.96||1408|52.19|0.11|0.33|0|0.0|0|0.0|1290|47.81|1408|52.19|552|10.47|12.61|2.14|11.76|12.19|0.43|-0.47|0.64
54|logSalePrice|1|1|10.93|10.93|10.93|10.93|10.93|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|10.93|10.93|0.0|10.93|10.93|0.0|0.0|-3.0
80|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
300|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
350|logSalePrice|1|1|12.21|12.21|12.21|12.21|12.21|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.21|12.21|0.0|12.21|12.21|0.0|0.0|-3.0
400|logSalePrice|18|11|130.68|11.88|11.88|11.85||7|38.89|0.07|0.27|0|0.0|0|0.0|11|61.11|7|38.89|11|11.33|12.22|0.89|11.77|12.1|0.33|-0.47|-0.29
420|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
450|logSalePrice|9|4|46.51|11.63|11.62|11.63||5|55.56|0.1|0.32|0|0.0|0|0.0|4|44.44|5|55.56|4|11.25|11.99|0.75|11.45|11.82|0.37|-0.07|-1.34
455|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
460|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
480|logSalePrice|2|2|23.82|11.91|11.91|11.91|12.13|1|50.0|0.09|0.31|0|0.0|0|0.0|2|100.0|0|0.0|2|11.7|12.13|0.43|11.8|12.02|0.22|0.0|-2.0
490|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
500|logSalePrice|13|8|95.92|11.99|11.99|12.01||5|38.46|0.11|0.34|0|0.0|0|0.0|8|61.54|5|38.46|8|11.41|12.53|1.12|11.85|12.18|0.33|-0.2|-0.37
560|logSalePrice|1|1|11.3|11.3|11.3|11.3|11.3|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.3|11.3|0.0|11.3|11.3|0.0|0.0|-3.0
600|logSalePrice|8|4|46.79|11.7|11.69|11.81||4|50.0|0.08|0.28|0|0.0|0|0.0|4|50.0|4|50.0|4|11.28|11.88|0.59|11.65|11.86|0.2|-1.07|-0.73
620|logSalePrice|1|1|11.39|11.39|11.39|11.39|11.39|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.39|11.39|0.0|11.39|11.39|0.0|0.0|-3.0
650|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
700|logSalePrice|7|5|60.14|12.03|12.03|11.98||2|28.57|0.03|0.19|0|0.0|0|0.0|5|71.43|2|28.57|5|11.87|12.34|0.47|11.91|12.03|0.12|1.09|-0.29
750|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
800|logSalePrice|1|1|11.61|11.61|11.61|11.61|11.61|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.61|11.61|0.0|11.61|11.61|0.0|0.0|-3.0
900|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1000|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1200|logSalePrice|3|2|23.42|11.71|11.71|11.71|11.84|1|33.33|0.04|0.19|0|0.0|0|0.0|2|66.67|1|33.33|2|11.58|11.84|0.27|11.64|11.78|0.13|0.0|-2.0
1300|logSalePrice|1|1|11.98|11.98|11.98|11.98|11.98|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.98|11.98|0.0|11.98|11.98|0.0|0.0|-3.0
1400|logSalePrice|1|1|12.0|12.0|12.0|12.0|12.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.0|12.0|0.0|12.0|12.0|0.0|0.0|-3.0
1500|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
1512|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2000|logSalePrice|7|4|48.68|12.17|12.16|12.22||3|42.86|0.14|0.37|0|0.0|0|0.0|4|57.14|3|42.86|4|11.72|12.51|0.79|11.94|12.45|0.51|-0.27|-1.59
2500|logSalePrice|2|1|12.49|12.49|12.49|12.49|12.49|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.49|12.49|0.0|12.49|12.49|0.0|0.0|-3.0
3000|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
3500|logSalePrice|1|1|10.92|10.92|10.92|10.92|10.92|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|10.92|10.92|0.0|10.92|10.92|0.0|0.0|-3.0
4500|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
6500|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
12500|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
17000|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
